name,concept_id
amisulpride,40725172
amisulpride,40725173
amisulpride,40725174
amisulpride,40725175
amisulpride,40725176
amisulpride,40725177
amisulpride,40725178
amisulpride,40725179
amisulpride,40725180
amisulpride,40725181
amisulpride,40725182
amisulpride,40725183
amisulpride,40725184
amisulpride,40725185
amisulpride,40725186
amisulpride,40725187
amisulpride,40725188
amisulpride,40725189
amisulpride,40725190
amisulpride,40725191
amisulpride,40725192
amisulpride,40725193
amisulpride,40725194
amisulpride,40725195
amisulpride,40725196
amisulpride,40725197
amisulpride,40725198
amisulpride,40725199
amisulpride,40725200
amisulpride,40725201
amisulpride,40725202
amisulpride,40725203
amisulpride,40725204
amisulpride,40821256
amisulpride,40823751
amisulpride,40824065
amisulpride,40825308
amisulpride,40830127
amisulpride,40830128
amisulpride,40830129
amisulpride,40830130
amisulpride,40833407
amisulpride,40833408
amisulpride,40833409
amisulpride,40850314
amisulpride,40850315
amisulpride,40850317
amisulpride,40850318
amisulpride,40850319
amisulpride,40850320
amisulpride,40850321
amisulpride,40850322
amisulpride,40850323
amisulpride,40850324
amisulpride,40850325
amisulpride,40850326
amisulpride,40850327
amisulpride,40850328
amisulpride,40850329
amisulpride,40850332
amisulpride,40850333
amisulpride,40850334
amisulpride,40850335
amisulpride,40850337
amisulpride,40857032
amisulpride,40857033
amisulpride,40857034
amisulpride,40857035
amisulpride,40857036
amisulpride,40857037
amisulpride,40857038
amisulpride,40857039
amisulpride,40857040
amisulpride,40857041
amisulpride,40857042
amisulpride,40857043
amisulpride,40857044
amisulpride,40857045
amisulpride,40857046
amisulpride,40857047
amisulpride,40861302
amisulpride,40864576
amisulpride,40869456
amisulpride,40869457
amisulpride,40869458
amisulpride,40881569
amisulpride,40881570
amisulpride,40881571
amisulpride,40881572
amisulpride,40881573
amisulpride,40881574
amisulpride,40881575
amisulpride,40881576
amisulpride,40881577
amisulpride,40881578
amisulpride,40881579
amisulpride,40881580
amisulpride,40881581
amisulpride,40881582
amisulpride,40881583
amisulpride,40881584
amisulpride,40881585
amisulpride,40881586
amisulpride,40881587
amisulpride,40881588
amisulpride,40888346
amisulpride,40888347
amisulpride,40888348
amisulpride,40888349
amisulpride,40888350
amisulpride,40888351
amisulpride,40888352
amisulpride,40888353
amisulpride,40888354
amisulpride,40888355
amisulpride,40888356
amisulpride,40888357
amisulpride,40888358
amisulpride,40888359
amisulpride,40888360
amisulpride,40888361
amisulpride,40888362
amisulpride,40888363
amisulpride,40888364
amisulpride,40888365
amisulpride,40888366
amisulpride,40888367
amisulpride,40888368
amisulpride,40900586
amisulpride,40912622
amisulpride,40912623
amisulpride,40912625
amisulpride,40912626
amisulpride,40912627
amisulpride,40912629
amisulpride,40912630
amisulpride,40912631
amisulpride,40912632
amisulpride,40912633
amisulpride,40912634
amisulpride,40912635
amisulpride,40912636
amisulpride,40912637
amisulpride,40912638
amisulpride,40912639
amisulpride,40912640
amisulpride,40912641
amisulpride,40912643
amisulpride,40919269
amisulpride,40919270
amisulpride,40919271
amisulpride,40919272
amisulpride,40919273
amisulpride,40919274
amisulpride,40919275
amisulpride,40919276
amisulpride,40919277
amisulpride,40919278
amisulpride,40919279
amisulpride,40919280
amisulpride,40926737
amisulpride,40926738
amisulpride,40926739
amisulpride,40931651
amisulpride,40931652
amisulpride,40931653
amisulpride,40931654
amisulpride,40943857
amisulpride,40943858
amisulpride,40943859
amisulpride,40943860
amisulpride,40943861
amisulpride,40943862
amisulpride,40943863
amisulpride,40943864
amisulpride,40943865
amisulpride,40943866
amisulpride,40943867
amisulpride,40943868
amisulpride,40943869
amisulpride,40943870
amisulpride,40943871
amisulpride,40943872
amisulpride,40943873
amisulpride,40943874
amisulpride,40950466
amisulpride,40950460
amisulpride,40950461
amisulpride,40950462
amisulpride,40950463
amisulpride,40950464
amisulpride,40950465
amisulpride,40950467
amisulpride,40950468
amisulpride,40950469
amisulpride,40950470
amisulpride,40950471
amisulpride,40950472
amisulpride,40950473
amisulpride,40950474
amisulpride,40950475
amisulpride,40950476
amisulpride,40950477
amisulpride,40950478
amisulpride,40950479
amisulpride,40954791
amisulpride,40958023
amisulpride,40962933
amisulpride,40962934
amisulpride,40962935
amisulpride,40974791
amisulpride,40974793
amisulpride,40974794
amisulpride,40974795
amisulpride,40974796
amisulpride,40974797
amisulpride,40974798
amisulpride,40974799
amisulpride,40974800
amisulpride,40974801
amisulpride,40974802
amisulpride,40974803
amisulpride,40974804
amisulpride,40974805
amisulpride,40974806
amisulpride,40974807
amisulpride,40974808
amisulpride,40974809
amisulpride,40974810
amisulpride,40974811
amisulpride,40981621
amisulpride,40981622
amisulpride,40981623
amisulpride,40981624
amisulpride,40981625
amisulpride,40981626
amisulpride,40981627
amisulpride,40981628
amisulpride,40985968
amisulpride,40985971
amisulpride,40994200
amisulpride,41006196
amisulpride,41006197
amisulpride,41006198
amisulpride,41006199
amisulpride,41006200
amisulpride,41006201
amisulpride,41006202
amisulpride,41006203
amisulpride,41006204
amisulpride,41006205
amisulpride,41006206
amisulpride,41006207
amisulpride,41006208
amisulpride,41006210
amisulpride,41006211
amisulpride,41012885
amisulpride,41012886
amisulpride,41012887
amisulpride,41012888
amisulpride,41012889
amisulpride,41012890
amisulpride,41012891
amisulpride,41012892
amisulpride,41012893
amisulpride,41012894
amisulpride,41012895
amisulpride,41012896
amisulpride,41012897
amisulpride,41012898
amisulpride,41012899
amisulpride,41012900
amisulpride,41017012
amisulpride,41017013
amisulpride,41017014
amisulpride,41020237
amisulpride,41020239
amisulpride,41025259
amisulpride,41037234
amisulpride,41037236
amisulpride,41037237
amisulpride,41037238
amisulpride,41037239
amisulpride,41037240
amisulpride,41037241
amisulpride,41037242
amisulpride,41037244
amisulpride,41037246
amisulpride,41037247
amisulpride,41037248
amisulpride,41037249
amisulpride,41037250
amisulpride,41037251
amisulpride,41037252
amisulpride,41037253
amisulpride,41037254
amisulpride,41037255
amisulpride,41037256
amisulpride,41037257
amisulpride,41037258
amisulpride,41037259
amisulpride,41044003
amisulpride,41044004
amisulpride,41044005
amisulpride,41044006
amisulpride,41044007
amisulpride,41044008
amisulpride,41044009
amisulpride,41044010
amisulpride,41044011
amisulpride,41044012
amisulpride,41044013
amisulpride,41044014
amisulpride,41044015
amisulpride,41044016
amisulpride,41048350
amisulpride,41051449
amisulpride,41051450
amisulpride,41056455
amisulpride,41056456
amisulpride,41068491
amisulpride,41068492
amisulpride,41068493
amisulpride,41068494
amisulpride,41068495
amisulpride,41068496
amisulpride,41068497
amisulpride,41068498
amisulpride,41068499
amisulpride,41068500
amisulpride,41068501
amisulpride,41068502
amisulpride,41068503
amisulpride,41068504
amisulpride,41068505
amisulpride,41068506
amisulpride,41068507
amisulpride,41068508
amisulpride,41075388
amisulpride,41075389
amisulpride,41075390
amisulpride,41075391
amisulpride,41075392
amisulpride,41075393
amisulpride,41075394
amisulpride,41075395
amisulpride,41075396
amisulpride,41075397
amisulpride,41075398
amisulpride,41075399
amisulpride,41075400
amisulpride,41075401
amisulpride,41075402
amisulpride,41079706
amisulpride,41079707
amisulpride,41079709
amisulpride,41079711
amisulpride,41083019
amisulpride,41087968
amisulpride,41099955
amisulpride,41099956
amisulpride,41099957
amisulpride,41099958
amisulpride,41099959
amisulpride,41099960
amisulpride,41099961
amisulpride,41099962
amisulpride,41099963
amisulpride,41099964
amisulpride,41099965
amisulpride,41099966
amisulpride,41099967
amisulpride,41099968
amisulpride,41106824
amisulpride,41106825
amisulpride,41106826
amisulpride,41106827
amisulpride,41106828
amisulpride,41106829
amisulpride,41106830
amisulpride,41106831
amisulpride,41106832
amisulpride,41106833
amisulpride,41106834
amisulpride,41106835
amisulpride,41111084
amisulpride,41111086
amisulpride,41111087
amisulpride,41131314
amisulpride,41131315
amisulpride,41131316
amisulpride,41131318
amisulpride,41131319
amisulpride,41131320
amisulpride,41131321
amisulpride,41131322
amisulpride,41131323
amisulpride,41131324
amisulpride,41131325
amisulpride,41131326
amisulpride,41131327
amisulpride,41131329
amisulpride,41131330
amisulpride,41138265
amisulpride,41138266
amisulpride,41138267
amisulpride,41138268
amisulpride,41138269
amisulpride,41138270
amisulpride,41138271
amisulpride,41138272
amisulpride,41138273
amisulpride,41138274
amisulpride,41138275
amisulpride,41138276
amisulpride,41138277
amisulpride,41138278
amisulpride,41138279
amisulpride,41138280
amisulpride,41138281
amisulpride,41138282
amisulpride,41138283
amisulpride,41142556
amisulpride,41145825
amisulpride,41162665
amisulpride,41162666
amisulpride,41162667
amisulpride,41162668
amisulpride,41162669
amisulpride,41162670
amisulpride,41162671
amisulpride,41162672
amisulpride,41162673
amisulpride,41169386
amisulpride,41169387
amisulpride,41169388
amisulpride,41169389
amisulpride,41169390
amisulpride,41169391
amisulpride,41169392
amisulpride,41169393
amisulpride,41169394
amisulpride,41169395
amisulpride,41173577
amisulpride,41176765
amisulpride,41181788
amisulpride,41181789
amisulpride,41193905
amisulpride,41193906
amisulpride,41193907
amisulpride,41193908
amisulpride,41193909
amisulpride,41193910
amisulpride,41193911
amisulpride,41193914
amisulpride,41193915
amisulpride,41193916
amisulpride,41193917
amisulpride,41193918
amisulpride,41193919
amisulpride,41193920
amisulpride,41193921
amisulpride,41193922
